Educ,YEAR,Age_grp,w.obs,obs,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd
NoHS,1995,"(15,20]",254159.0751330069,45,-1.1415928747499353,1.2123861616412062,3.1806421736670996,0.9174337184338497
NoHS,1995,"(20,25]",471238.6505663131,79,-1.0611984728537684,1.475816500147777,3.122273569533178,0.7264931123240703
NoHS,1995,"(25,30]",567079.7571388013,91,-0.8866317828863428,1.2315962819299662,3.586365420763971,0.6698676085870335
NoHS,1995,"(30,35]",561122.6223094718,101,-0.8548681211202709,1.1991765252775426,3.270874004626521,0.5956165986325258
NoHS,1995,"(35,40]",980859.5982391366,175,-0.6016033428134426,1.9953057547195632,3.5323493230038157,0.7997432616998629
NoHS,1995,"(40,45]",982487.0230649995,156,-0.7363269281003587,1.596555880516999,3.6539298855675426,0.6911510104816453
NoHS,1995,"(45,50]",633992.145392498,105,-0.4190314243418286,1.9555160932013003,3.8390002204148526,0.7271902980487227
NoHS,1995,"(50,55]",1052664.078934471,181,0.2990282993921788,1.3378004535780876,3.664103109742236,0.8777065641211838
NoHS,1995,"(55,60]",1081293.7543381394,161,0.19315782814324792,1.6593916577375334,3.957329051710425,0.6181058008509499
NoHS,1995,"(60,65]",1640435.4511792683,235,0.6456781133666262,1.5088286804187747,3.313844646546057,0.9056069353413314
NoHS,1995,"(65,70]",1911024.4533374945,270,1.1542216733317936,1.5364293575243984,3.3764864942759614,0.8101756999385431
NoHS,1995,"(70,75]",1869302.2394106474,262,1.539672904646723,1.3450234888023387,3.188202319390597,0.7480723782422178
NoHS,1995,"(75,80]",1759377.6172246474,238,1.0709321873867144,1.747853603356272,2.7643581047512975,1.1130351079024319
NoHS,1995,"(80,85]",913703.7079329834,130,1.0226254223620126,1.8725773690147332,2.816286008754889,0.9604688582067351
NoHS,1995,"(85,90]",440249.00659021793,57,0.9362979207019342,1.7117255209925282,3.051352870781214,0.6286227833855311
NoHS,1995,"(90,95]",138470.92246808432,28,1.2994659267630355,2.637533758630498,2.897753996363551,0.7106677267823902
NoHS,1998,"(15,20]",111297.21483771286,19,-1.5265284687826273,1.9864058689100768,3.161651613791065,0.3903841497164726
NoHS,1998,"(20,25]",648729.817998217,109,-1.4577789856136514,1.9964709753027032,3.0791074514177295,0.9282504430113926
NoHS,1998,"(25,30]",864616.4014484201,141,-0.886000236199471,1.5496466037080503,3.305347255367441,0.7834627135418694
NoHS,1998,"(30,35]",758060.7347963224,126,-1.4113028332665893,1.6358556545763951,3.6388278607598004,0.6846238155897263
NoHS,1998,"(35,40]",1252330.0085377665,196,-0.34838544297338986,2.0737273959986937,3.6723149940356614,0.7396151580516056
NoHS,1998,"(40,45]",754737.3267919559,136,-0.05051686847472791,1.3563440875464057,3.652207480571608,0.9061352082622736
NoHS,1998,"(45,50]",756064.1495596407,123,0.10711096578327702,1.258835604021331,3.675651213079299,0.902520307324946
NoHS,1998,"(50,55]",961974.562666491,152,0.5334697275351005,1.597859102854461,3.600661197855406,0.999785069338481
NoHS,1998,"(55,60]",1265772.2073251319,205,0.5740938575743559,1.6705295585981568,3.6167532270646885,0.7924869612113813
NoHS,1998,"(60,65]",859910.6181941511,136,0.3880216519464565,1.9943288377636523,3.461546755484133,0.6459499717094644
NoHS,1998,"(65,70]",1114864.7143920055,155,0.5380463660580382,2.074666847600282,2.824771291963115,1.3035400795133012
NoHS,1998,"(70,75]",1435101.324025731,234,0.9958494689716326,1.5084762571127888,3.0762236759586834,0.7764276667779851
NoHS,1998,"(75,80]",1308262.7749921551,165,1.1070407224155705,2.0960048832978866,3.075945496314555,0.769146152324175
NoHS,1998,"(80,85]",1090401.7043019878,130,1.7078153966433638,1.4127278910345957,2.960516841744188,0.7304158804291525
NoHS,1998,"(85,90]",344003.1951173016,48,1.1610533294774716,2.455615497034932,2.748174994144087,0.8397716495821361
NoHS,1998,"(90,95]",180245.52656928354,25,1.1995053363755193,2.241927810135738,2.7843951322644545,0.7574024553920288
NoHS,2001,"(15,20]",113545.30896558195,15,-0.29239860127400746,1.4910691854195197,3.2645226374479006,0.7262349698935744
NoHS,2001,"(20,25]",569595.5813429527,91,-1.5126010457095127,1.7064770166421845,3.5360631775422724,0.6024643003988907
NoHS,2001,"(25,30]",670218.2362365621,110,-0.8151757914382627,1.4786712364239873,3.3739326690369458,0.5563910843677695
NoHS,2001,"(30,35]",866248.2430145431,141,-0.40994959187587315,1.5680159789424912,3.630907869111754,0.7691850206744024
NoHS,2001,"(35,40]",667179.1448082414,114,-1.1091096927379844,1.5790189116119764,3.4223073028540063,0.5333332458056308
NoHS,2001,"(40,45]",952755.1173981486,168,-0.3565839420255624,1.9983224270782682,3.663937168496856,0.7807178849721856
NoHS,2001,"(45,50]",945795.4036474751,175,-0.4526053776406059,1.6306962306388808,3.667431518368719,0.8682241627012787
NoHS,2001,"(50,55]",1167689.4011403143,202,0.28027376854774466,2.084971096217472,3.3059476784424278,1.1222000920119382
NoHS,2001,"(55,60]",881836.6865352567,155,0.42984600673091017,2.309731574042101,3.926505613411667,0.7735408579302271
NoHS,2001,"(60,65]",1243054.7640913655,208,0.8081964350868253,1.4874146331804374,3.2547078572351325,0.7239443549870952
NoHS,2001,"(65,70]",1281782.2963174772,177,0.6345657730962286,1.8139341500850978,3.2000197543067572,0.9257654006603934
NoHS,2001,"(70,75]",1587518.4205608747,233,1.0833306230671451,1.8251442279773662,3.1256621720004607,0.6877397270870426
NoHS,2001,"(75,80]",1535037.1099398874,201,1.3298747842073442,1.5014331560849588,3.142136477273694,0.5934568743980702
NoHS,2001,"(80,85]",846524.2686230992,116,0.9689156189563414,2.4520923750341,3.267552130901829,0.7745795100449481
NoHS,2001,"(85,90]",560556.9662260812,66,2.06531919608316,0.5047111519298276,3.02463149324699,0.6388108399443426
NoHS,2001,"(90,95]",44166.56080740568,10,-2.65638601415021,2.5249547168769526,2.4199316948984926,1.153384454559614
NoHS,2004,"(15,20]",69372.16942486778,10,-2.3435669594898996,2.73067224666072,2.4992146519541167,0.578932795375018
NoHS,2004,"(20,25]",676955.6495531881,99,-1.7617054851685299,2.462296377386442,3.423919238983367,0.6251229417636285
NoHS,2004,"(25,30]",974256.9738947768,155,-1.2001681415348129,2.0317741127042392,3.5026923243641206,0.5806021998814396
NoHS,2004,"(30,35]",680189.0253300158,120,-0.5778470183078058,1.418464193995407,3.6594411535453015,0.6727379784200619
NoHS,2004,"(35,40]",980031.62479176,172,-1.136480008529292,1.6328488568864292,3.6465108762162846,0.6086085291101822
NoHS,2004,"(40,45]",1246973.3799595956,198,-0.1388436550910638,1.516953285370247,3.780613909873941,0.6113467711347265
NoHS,2004,"(45,50]",1030330.4984525687,195,-0.38101054780654364,2.1043979358788265,3.631436583639786,0.7769176091563349
NoHS,2004,"(50,55]",815361.7233945855,141,0.2548928614700897,1.6064458521713847,3.6513656231109013,0.6171016696938733
NoHS,2004,"(55,60]",658854.8505911725,129,0.2953283638200151,1.6194511373731297,3.603102188324604,0.8271889100284324
NoHS,2004,"(60,65]",863898.5172756349,130,0.16483483899007215,2.4948880660743904,3.2632567088030777,0.9925404291754776
NoHS,2004,"(65,70]",1489313.743380358,190,0.540271286638507,1.8915716941540182,3.415588541121593,0.6692663308254576
NoHS,2004,"(70,75]",1319864.5738712687,165,0.981955477205027,1.5702513177987063,3.0216580642592556,0.5259234144922617
NoHS,2004,"(75,80]",1280418.8243616486,145,0.9690233123981995,1.6912251575485986,3.0863214692409056,0.6618995513873153
NoHS,2004,"(80,85]",813519.9146337978,100,0.7557002358261549,2.0142390210854906,3.092442696613308,0.6999308130963798
NoHS,2004,"(85,90]",510891.8391052814,60,1.208106166192149,2.330391341290443,2.9965585801138923,0.9573061723986952
NoHS,2004,"(90,95]",436179.07304797886,40,2.1162134001910866,1.4193050927128603,2.8259467057336263,0.6231010070247139
NoHS,2007,"(15,20]",77395.74738704601,13,-2.779663542204234,1.3766921219263186,2.93595655825812,0.6334611838649324
NoHS,2007,"(20,25]",634562.7267168679,82,-2.1635488169913355,1.4023856417701523,3.423997106727733,0.5051918700435347
NoHS,2007,"(25,30]",744060.7046752869,105,-0.32673253951115433,1.468799756797023,3.509164354927508,0.6586819075313977
NoHS,2007,"(30,35]",1175878.542269338,161,-0.4405841710593697,1.6092584114460562,3.6171860711622443,0.5013107832324871
NoHS,2007,"(35,40]",826581.234001066,131,-0.5435699078498233,1.9645605863034474,3.8791497156678703,0.7281511988707389
NoHS,2007,"(40,45]",1295355.4736215312,195,-0.5253716572601934,2.518130989270338,3.627517065426438,0.7109494092975961
NoHS,2007,"(45,50]",1080544.6577733576,160,-0.18877354790410544,1.9278885040796327,3.799289176725402,0.908123335696937
NoHS,2007,"(50,55]",942599.7250559586,133,0.58413081656256,1.356585990503518,3.732998729259272,0.8645944115396
NoHS,2007,"(55,60]",782351.1429328299,115,0.13051996941754512,1.6767909933123757,3.373743859837804,0.6943093380531447
NoHS,2007,"(60,65]",730207.363571684,104,0.6749805970463298,1.6198945347335723,3.341472216200619,0.8402433069567182
NoHS,2007,"(65,70]",847176.1816840265,125,1.51563689139228,1.1701248983601324,3.7659446345959102,0.6116909195182745
NoHS,2007,"(70,75]",953483.298853743,116,1.0271723871136618,1.7308939289334555,3.3876835253103685,0.7625277690726073
NoHS,2007,"(75,80]",1193187.1780123175,141,0.9818081420171052,2.4462619875908427,2.8165638739400083,0.5337627181752459
NoHS,2007,"(80,85]",1249796.2951162665,156,0.9273560833641233,2.2120509124026775,3.0064370785545953,0.6307597100967189
NoHS,2007,"(85,90]",474948.0685896782,66,1.548906661713173,2.1110456337969965,3.236136742626743,0.7227330149738955
NoHS,2007,"(90,95]",125382.08023948595,13,2.4247934248558263,0.4259963373838577,3.3766721029115474,0.6854863016886389
NoHS,2010,"(15,20]",114122.92998819276,25,-2.4333525407315024,2.06655080601129,3.12273408395443,0.31962448041712604
NoHS,2010,"(20,25]",375726.75690856634,90,-2.220199167328328,2.123124457110138,3.2496888322269504,0.4864588040344222
NoHS,2010,"(25,30]",474055.0791284883,135,-1.6538368030466823,1.0734881624481898,3.528397085120949,0.44783020502854787
NoHS,2010,"(30,35]",869463.1227917763,232,-1.5583491565856593,1.9953630430966858,3.607040235296377,0.5157811760528292
NoHS,2010,"(35,40]",1026166.5121816127,280,-0.9701747155688604,1.8412065041568386,3.590136560984432,0.887177382103057
NoHS,2010,"(40,45]",948662.773022951,249,-0.9900009248581643,2.0347258352027944,3.6342428923756915,0.6831179599178148
NoHS,2010,"(45,50]",1249131.039594657,326,-0.7968745615275076,2.069359271676353,3.539096445657006,0.7486202440537898
NoHS,2010,"(50,55]",1105570.016819429,277,-0.15082978910724873,1.7963757283581578,3.5546550626744136,0.6084599724805764
NoHS,2010,"(55,60]",747077.0527994208,196,-0.40526178805668794,1.8869885041119696,3.557478976962085,0.9443019463099002
NoHS,2010,"(60,65]",936307.833657262,215,0.7448594183004883,1.428728726309012,3.427885304767457,0.7055350087291798
NoHS,2010,"(65,70]",962731.0703923366,208,0.37796507242241584,1.9612516088207363,3.4505719275006603,0.6577026872893343
NoHS,2010,"(70,75]",712093.4485635937,141,1.37190555161764,1.299073019478777,3.4590979329124836,0.6578747136596529
NoHS,2010,"(75,80]",1071029.936570314,164,1.1613664773275618,1.962793909212018,3.0995670877471917,0.44743192935481507
NoHS,2010,"(80,85]",931000.9420251059,148,1.2171670118565623,1.5878521806792116,3.2182775583336154,0.6609731956903937
NoHS,2010,"(85,90]",235996.7030059901,41,0.5379087987033642,1.882396416289884,3.0473048337774515,0.6055083980867317
NoHS,2010,"(90,95]",189232.26281983018,30,0.5217057860814379,2.926141711015071,3.0423203731121764,0.6348772559393528
NoHS,2013,"(15,20]",153202.60598898504,25,-0.3524656228152792,1.409907657185452,2.8919678419868218,0.3602720002176228
NoHS,2013,"(20,25]",318112.58076259843,64,-1.3385838379704809,1.1508385367993792,3.502521709138684,0.5091920474158612
NoHS,2013,"(25,30]",755423.3955867689,161,-1.2359951854842652,1.2495894359043918,3.2981667991758274,0.5213785970368118
NoHS,2013,"(30,35]",696258.8511881772,152,-0.9072151702029161,1.819938419361667,3.719733245957369,0.6823639112170419
NoHS,2013,"(35,40]",878916.2094727592,198,-1.2120165214119103,1.8229755013788391,3.539191998601241,0.6197677866494561
NoHS,2013,"(40,45]",782617.9641149217,178,-1.009458069212757,2.170018948158611,3.5699499874874907,0.5293419722293679
NoHS,2013,"(45,50]",972716.6478471276,234,-0.6167707077099395,1.8814979107253633,3.5778315039539805,0.8609117873154505
NoHS,2013,"(50,55]",1095273.4029353615,236,-0.5601164070373281,2.051964850171032,3.5628368795357823,0.7846387177566178
NoHS,2013,"(55,60]",867809.667781865,191,0.059120032524160364,2.1570567422249365,3.3896638524564184,0.7811006788145406
NoHS,2013,"(60,65]",980370.7628657355,195,-0.1625707002525967,2.026313602036975,3.4189727843123014,0.6253808545338213
NoHS,2013,"(65,70]",541988.0880223544,100,1.176609244072793,1.4199511317708844,3.27986242738628,0.6633865586520084
NoHS,2013,"(70,75]",1025460.3491376269,173,0.5981296599746636,2.1884296625844155,3.2142443680597412,0.6930856245041749
NoHS,2013,"(75,80]",887271.0411052842,145,1.2942367362898424,1.7947673797027346,3.053079174148555,0.5964174421859223
NoHS,2013,"(80,85]",834494.9767089848,129,0.7637397499081288,1.7537954062024277,3.121162797826989,0.560945446341563
NoHS,2013,"(85,90]",572748.0317348419,95,1.0071674479417596,2.0111763220218486,2.970076317014916,0.5315662926265478
NoHS,2013,"(90,95]",255567.16575573004,40,2.4365955106041524,0.8167639900972594,2.8450630128264116,0.7491899361112079
NoHS,2016,"(15,20]",80300.48512592616,15,-2.465303605389512,1.2777368483051788,2.71903118345427,0.7891505606750878
